Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),SPACE1-1:Zone Lights Total Heating Energy [J](Hourly),SPACE2-1:Zone Lights Total Heating Energy [J](Hourly),SPACE3-1:Zone Lights Total Heating Energy [J](Hourly),SPACE4-1:Zone Lights Total Heating Energy [J](Hourly),SPACE5-1:Zone Lights Total Heating Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE1-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly),SPACE3-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly) 
 01/19  21:00:00,-1.475,72.75,4.2,341.25,0.0,1.1,0.5,1.1,0.5,2.,1140480.,492480.,1140480.,492480.,2134080.,18.8197934376637,19.1656828487316,19.1641571916,19.2131674390442,19.1897447688218,20.8352146289496,0.0,0.0 
 01/19  22:00:00,-1.7,73.125,3.9125,330.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,18.1689134151037,18.5395525813024,18.3908856373425,18.57867351542,18.4182028417619,20.0130699083125,0.0,0.0 
 01/19  23:00:00,-1.7,72.,4.1,330.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.584620699118,18.1398467471394,17.878849690899,18.1744631537701,17.9054627513968,19.5944730621812,0.0,0.0 
 01/19  24:00:00,-2.0125,73.875,3.475,330.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.1134293087578,17.8765492733468,17.5248878472471,17.9089028851936,17.5496665913841,19.3338978265642,0.0,0.0 
 01/20  01:00:00,-2.8875,78.75,3.4125,305.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.736744919189,17.6560533555968,17.2315266860879,17.6900362397525,17.2548008398697,19.1391509197513,0.0,0.0 
 01/20  02:00:00,-2.6125,77.25,4.225,296.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.4136986507066,17.4727245952412,16.9892279144894,17.5051150497181,17.011131156495,18.9656605201989,0.0,0.0 
 01/20  03:00:00,-2.575,76.875,4.975,331.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.1390066480366,17.3322811550439,16.7992990786312,17.3636100262074,16.8194981087209,18.8194095322334,0.0,0.0 
 01/20  04:00:00,-2.8,78.,4.5125,325.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,15.9155893350094,17.2204034160065,16.6493169535703,17.2519278292066,16.6682052620145,18.7190420215433,0.0,0.0 
 01/20  05:00:00,-2.8,78.,3.7875,316.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,15.7407669759898,17.1590291605013,16.55434172975,17.1898874453457,16.571706687749,18.6615694305899,0.0,0.0 
 01/20  06:00:00,-2.8,78.,3.2875,320.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,15.6041189870415,17.1143419807417,16.4833518483663,17.1446495220683,16.4993867946211,18.6179063794043,0.0,0.0 
 01/20  07:00:00,-2.8,78.,2.7875,326.25,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,15.4957442192326,17.0684931061867,16.3959230358113,17.0986896857502,16.4094223480673,18.5740841124714,0.0,0.0 
 01/20  08:00:00,-2.8,78.,2.6,317.5,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,16.6906699230681,21.2933138037188,21.815486271654,21.2970932344206,21.8308004840354,21.482801719629,3890.30847529528,3751.45364905225 
 01/20  09:00:00,-2.8,78.,2.2875,322.5,0.0,11.,5.,11.,5.,20.,5132160.,2216160.,5132160.,2216160.,9603360.,17.7555354334028,22.0522050266416,22.000670544339,22.0453463238212,22.000786384143,22.5521867884352,1070.71036250725,893.489904759352 
 01/20  10:00:00,-2.425,76.125,2.1,323.75,0.1875,11.,5.,11.,5.,20.,5417280.,2339280.,5417280.,2339280.,10136880.,18.519042577001,22.0058807897953,22.0119826573284,22.042178910236,22.0003961964517,23.7811053534339,190.595694636718,27.1133935203841 
 01/20  11:00:00,-1.8875,73.125,2.725,282.5,0.9375,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,19.2546211060357,22.1059324133143,22.3178051381887,22.4069360869219,22.0084320796552,24.0046108437754,0.0,0.0 
 01/20  12:00:00,-1.7,72.,3.4125,272.5,1.,8.8,4.,8.8,4.,16.,5417280.,2339280.,5417280.,2339280.,10136880.,19.7771500538543,22.1738016662582,22.358554750994,22.5419794951732,22.0017980036129,24.0040490519978,0.0,0.0 
 01/20  13:00:00,-1.325,72.,2.975,123.75,125.3125,4.4,2.,4.4,2.,8.,4561920.,1969920.,4561920.,1969920.,8536320.,20.0749884735456,22.1300352186184,22.02324345225,22.240068536539,22.0002821862032,23.8688876476554,51.4981519447236,0.0 
 01/20  14:00:00,-0.4125,68.875,1.9125,92.5,631.1875,8.8,4.,8.8,4.,16.,5132160.,2216160.,5132160.,2216160.,9603360.,20.6034751744881,23.6735541440959,22.3479220777779,22.5256308770629,21.9999865435785,24.0012401745995,0.0,0.0 
 01/20  15:00:00,0.6875,63.875,1.875,205.,673.75,11.,5.,11.,5.,20.,5702400.,2462400.,5702400.,2462400.,10670400.,21.1018123788019,23.8497669129691,21.9165202607364,22.1966591395142,21.8298928916784,23.5477493469675,0.0,567.360445750804 
